ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.80982 2.26000 0.89163 2.10040 2.44865 11.23583 8192.4 13654.0 2.23385 0.47200 
0.80993 2.26800 0.89791 2.10110 2.44969 11.22690 8202.7 13671.2 2.23247 0.47199 
0.81004 2.27600 0.90420 2.10179 2.45071 11.21800 8212.9 13688.3 2.23106 0.47198 
0.81014 2.28400 0.91050 2.10246 2.45170 11.20914 8223.2 13705.4 2.22965 0.47196 
0.81025 2.29200 0.91682 2.10311 2.45267 11.20032 8233.4 13722.4 2.22821 0.47195 
0.81036 2.30000 0.92315 2.10375 2.45362 11.19154 8243.5 13739.3 2.22676 0.47194 
0.81046 2.30800 0.92950 2.10437 2.45455 11.18279 8253.6 13756.2 2.22530 0.47193 
0.81057 2.31600 0.93587 2.10498 2.45546 11.17408 8263.7 13772.9 2.22382 0.47191 
0.81067 2.32400 0.94225 2.10558 2.45635 11.16541 8273.7 13789.6 2.22233 0.47190 
0.81077 2.33200 0.94864 2.10616 2.45722 11.15678 8283.7 13806.3 2.22083 0.47189 
0.81088 2.34000 0.95505 2.10673 2.45806 11.14818 8293.6 13822.8 2.21931 0.47188 
0.81098 2.34800 0.96147 2.10728 2.45889 11.13962 8303.5 13839.3 2.21778 0.47187 
0.81108 2.35600 0.96790 2.10782 2.45970 11.13109 8313.4 13855.7 2.21623 0.47186 
0.81118 2.36400 0.97435 2.10835 2.46049 11.12260 8323.2 13872.0 2.21468 0.47185 
0.81128 2.37200 0.98082 2.10886 2.46126 11.11416 8333.0 13888.3 2.21311 0.47184 
0.81138 2.38000 0.98730 2.10936 2.46201 11.10574 8342.8 13904.5 2.21153 0.47183 
0.81148 2.38800 0.99379 2.10985 2.46274 11.09736 8352.5 13920.6 2.20993 0.47182 
0.81158 2.39600 1.00030 2.11033 2.46345 11.08901 8362.1 13936.6 2.20833 0.47181 
0.81168 2.40400 1.00682 2.11079 2.46414 11.08069 8371.7 13952.6 2.20671 0.47180 
0.81177 2.41200 1.01335 2.11124 2.46482 11.07241 8381.3 13968.5 2.20508 0.47179 
0.81187 2.42000 1.01990 2.11168 2.46548 11.06417 8390.8 13984.4 2.20344 0.47178 
0.81197 2.42800 1.02647 2.11210 2.46612 11.05596 8400.3 14000.2 2.20180 0.47177 
0.81206 2.43600 1.03304 2.11252 2.46674 11.04778 8409.7 14015.9 2.20014 0.47176 
0.81216 2.44400 1.03963 2.11292 2.46734 11.03964 8419.1 14031.6 2.19847 0.47175 
0.81225 2.45200 1.04623 2.11331 2.46793 11.03154 8428.5 14047.1 2.19679 0.47174 
0.81235 2.46000 1.05285 2.11368 2.46850 11.02346 8437.8 14062.7 2.19510 0.47173 
0.81244 2.46800 1.05948 2.11405 2.46905 11.01542 8447.1 14078.1 2.19341 0.47172 
0.81254 2.47600 1.06613 2.11441 2.46959 11.00742 8456.3 14093.5 2.19170 0.47171 
0.81263 2.48400 1.07278 2.11475 2.47011 10.99945 8465.5 14108.8 2.18999 0.47170 
0.81272 2.49200 1.07945 2.11508 2.47061 10.99150 8474.6 14124.1 2.18826 0.47169 
0.81281 2.50000 1.08614 2.11541 2.47110 10.98360 8483.7 14139.3 2.18653 0.47167 
0.81290 2.50800 1.09283 2.11572 2.47158 10.97572 8492.8 14154.4 2.18480 0.47166 
0.81300 2.51600 1.09955 2.11602 2.47204 10.96788 8501.9 14169.5 2.18305 0.47165 
0.81309 2.52400 1.10627 2.11632 2.47248 10.96007 8510.9 14184.5 2.18130 0.47164 
0.81318 2.53200 1.11301 2.11660 2.47291 10.95230 8519.8 14199.5 2.17954 0.47163 
0.81327 2.54000 1.11976 2.11687 2.47332 10.94455 8528.8 14214.4 2.17777 0.47163 
0.81336 2.54800 1.12652 2.11714 2.47372 10.93683 8537.7 14229.2 2.17599 0.47161 
0.81344 2.55600 1.13329 2.11739 2.47411 10.92915 8546.5 14243.9 2.17421 0.47160 
0.81353 2.56400 1.14008 2.11763 2.47448 10.92150 8555.4 14258.7 2.17242 0.47159 
0.81362 2.57200 1.14688 2.11787 2.47484 10.91388 8564.2 14273.3 2.17063 0.47159 
0.81371 2.58000 1.15370 2.11809 2.47518 10.90630 8572.9 14287.9 2.16883 0.47158 
0.81379 2.58800 1.16052 2.11831 2.47551 10.89874 8581.6 14302.4 2.16702 0.47157 
0.81388 2.59600 1.16736 2.11852 2.47583 10.89121 8590.3 14316.9 2.16521 0.47156 
0.81397 2.60400 1.17422 2.11871 2.47613 10.88372 8599.0 14331.3 2.16339 0.47155 
0.81405 2.61200 1.18108 2.11890 2.47642 10.87625 8607.6 14345.6 2.16156 0.47154 
0.81414 2.62000 1.18796 2.11909 2.47670 10.86881 8616.2 14359.9 2.15974 0.47153 
0.81422 2.62800 1.19485 2.11926 2.47696 10.86141 8624.7 14374.2 2.15790 0.47152 
0.81431 2.63600 1.20175 2.11942 2.47721 10.85403 8633.2 14388.4 2.15606 0.47151 
0.81439 2.64400 1.20866 2.11958 2.47745 10.84668 8641.7 14402.5 2.15422 0.47150 
